Name,Time Played,Class,Light,Kills,Deaths,KDR,KDA,Grenade,Melee,Super,Completed
Milk,175786,Warlock,1568,596.0,28.0,21.285714285714285,33.285714285714285,53.0,9.0,0.0,1.0
Wolxzz,182247,Hunter,1567,1090.0,22.0,49.54545454545455,63.90909090909091,88.0,27.0,0.0,1.0
dhaviae,115874,Hunter,1559,1165.0,28.0,41.607142857142854,52.910714285714285,55.0,129.0,6.0,1.0
Hero,55512,Warlock,1565,453.0,32.0,14.15625,23.03125,120.0,73.0,0.0,1.0
END GROUP + 10349121089
feic911,220424,Titan,1560,983.0,31.0,31.70967741935484,37.12903225806452,43.0,28.0,2.0,1.0
巴比卜,374655,Hunter,1545,1862.0,25.0,74.48,96.4,142.0,0.0,0.0,1.0
Sakura,81934,Titan,1546,734.0,27.0,27.185185185185187,36.48148148148148,62.0,19.0,0.0,1.0
眉川酷子,157813,Hunter,1566,1368.0,30.0,45.6,59.65,129.0,27.0,0.0,1.0
体育哥,181857,Titan,1565,788.0,29.0,27.17241379310345,39.5,73.0,44.0,4.0,1.0
B4L0VED,150831,Titan,1562,386.0,44.0,8.772727272727273,14.840909090909092,69.0,14.0,0.0,1.0
END GROUP + 10349106901
JOHN DAM WRIGHT,523888,Hunter,1533,442.0,72.0,6.138888888888889,8.13888888888889,19.0,10.0,0.0,1.0
JustKimo,764369,Titan,1564,1439.0,66.0,21.803030303030305,27.40909090909091,90.0,67.0,17.0,1.0
Luhfys,139621,Hunter,1568,1598.0,45.0,35.51111111111111,40.36666666666667,142.0,17.0,5.0,1.0
Doctor Brehon,839957,Warlock,1567,1298.0,70.0,18.542857142857144,24.678571428571427,442.0,67.0,6.0,1.0
Ren 0v0,312486,Warlock,1561,410.0,66.0,6.212121212121212,8.606060606060606,77.0,60.0,2.0,1.0
BGilbyy,192239,Warlock,1565,765.0,70.0,10.928571428571429,17.357142857142858,140.0,19.0,3.0,1.0
Muted Mew,217600,Warlock,1560,776.0,28.0,27.714285714285715,32.660714285714285,270.0,36.0,4.0,0.0
END GROUP + 10349124586
Nowis,413207,Warlock,1566,805.0,15.0,53.666666666666664,65.93333333333334,349.0,21.0,11.0,1.0
Crayonidas - Ape of Sparta,310322,Titan,1561,75.0,17.0,4.411764705882353,5.617647058823529,46.0,24.0,0.0,1.0
Wyverna,186806,Warlock,1561,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Spark,160125,Warlock,1555,487.0,13.0,37.46153846153846,51.84615384615385,126.0,29.0,0.0,1.0
"Ma'ra, CEO of CEOs",430906,Titan,1566,395.0,17.0,23.235294117647058,30.0,79.0,16.0,0.0,1.0
Krimael,438099,Warlock,1562,491.0,12.0,40.916666666666664,50.625,105.0,88.0,0.0,1.0
Psycho Unicorn,428497,Warlock,1542,483.0,11.0,43.90909090909091,56.95454545454545,99.0,31.0,0.0,1.0
END GROUP + 10349124611
smoker51,297194,Titan,1563,76.0,2.0,38.0,55.5,9.0,2.0,0.0,1.0
Neon_Flamer,276431,Titan,1561,96.0,3.0,32.0,42.833333333333336,14.0,9.0,0.0,1.0
TheSylveon,152450,Warlock,1536,30.0,1.0,30.0,46.5,2.0,2.0,0.0,1.0
Vissey,211333,Hunter,1558,157.0,1.0,157.0,188.5,15.0,1.0,0.0,1.0
Коммандер Завала,228585,Warlock,1551,112.0,3.0,37.333333333333336,44.666666666666664,30.0,0.0,0.0,1.0
bradz,167923,Hunter,1557,100.0,1.0,100.0,134.5,10.0,2.0,0.0,1.0
END GROUP + 10349125717
Xazer_imba,382996,Titan,1567,913.0,20.0,45.65,57.925,125.0,18.0,3.0,1.0
Forexit,415208,Hunter,1563,655.0,21.0,31.19047619047619,41.54761904761905,94.0,8.0,0.0,1.0
Lord SAS,298303,Titan,1579,693.0,29.0,23.896551724137932,32.6551724137931,151.0,9.0,2.0,1.0
jock0909,136655,Warlock,1562,269.0,27.0,9.962962962962964,16.48148148148148,69.0,13.0,4.0,1.0
pan1q,306954,Titan,1564,542.0,23.0,23.565217391304348,31.282608695652176,75.0,16.0,2.0,1.0
爪ØÎŞĘY干Ø义I乃ØY,159370,Warlock,1561,778.0,17.0,45.76470588235294,59.88235294117647,90.0,15.0,4.0,1.0
END GROUP + 10349127432
happypolar,79587,Hunter,1552,374.0,16.0,23.375,33.09375,38.0,1.0,0.0,1.0
연우산,174959,Hunter,1559,846.0,20.0,42.3,50.0,61.0,11.0,1.0,1.0
Elenchus,449390,Hunter,1547,52.0,19.0,2.736842105263158,4.5,7.0,0.0,0.0,1.0
ㅇㅇ,126501,Titan,1559,248.0,21.0,11.80952380952381,15.214285714285714,23.0,0.0,0.0,1.0
아이스팩,102218,Titan,1411,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Hecatia,110178,Warlock,1560,370.0,20.0,18.5,26.075,51.0,37.0,1.0,1.0
hazy,110559,Warlock,1552,610.0,20.0,30.5,39.65,186.0,18.0,0.0,1.0
END GROUP + 10349128763
