Name,Time Played,Class,Light,Kills,Deaths,KDR,KDA,Grenade,Melee,Super,Completed
SILVERSLASH596,243953,Warlock,1572,3730.0,236.0,15.805084745762711,18.66949152542373,882.0,344.0,67.0,1.0
SwiftChaos123,122354,Warlock,1581,3473.0,207.0,16.77777777777778,19.835748792270532,487.0,157.0,182.0,1.0
j o e,352331,Warlock,1579,5307.0,184.0,28.842391304347824,30.94836956521739,1328.0,352.0,204.0,1.0
Darren__14,336136,Hunter,1585,2980.0,219.0,13.60730593607306,17.041095890410958,155.0,38.0,99.0,1.0
END GROUP + 11402212644
蛇皮c,69246,Titan,1573,293.0,5.0,58.6,61.6,0.0,45.0,19.0,1.0
JDK-1.8,86715,Warlock,1575,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
别踩街边一只猫尾巴,136420,Warlock,1577,83.0,4.0,20.75,25.0,0.0,51.0,1.0,1.0
Train New Bee,132049,Titan,1591,114.0,7.0,16.285714285714285,18.357142857142858,0.0,68.0,5.0,1.0
骸音シーエ,93731,Hunter,1575,424.0,4.0,106.0,109.75,67.0,154.0,0.0,1.0
Ralo,123071,Warlock,1580,308.0,9.0,34.22222222222222,37.22222222222222,0.0,27.0,4.0,1.0
A1高闪来一个宝贝,143690,Titan,1578,129.0,6.0,21.5,24.583333333333332,0.0,79.0,0.0,1.0
霜序,227674,Hunter,1577,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
END GROUP + 11402195026
BloodxShotxFTW,98966,Hunter,1568,31.0,9.0,3.4444444444444446,3.7222222222222223,4.0,1.0,0.0,0.0
Yako Kukan,46739,Hunter,1574,1129.0,107.0,10.551401869158878,15.41588785046729,109.0,289.0,32.0,1.0
Gunsmoke_Gaming,89691,Hunter,1428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TechnOMunkEE,147123,Hunter,1570,934.0,70.0,13.342857142857143,15.507142857142858,119.0,53.0,44.0,0.0
DatGuy756,265392,Hunter,1580,2679.0,151.0,17.741721854304636,20.301324503311257,106.0,302.0,41.0,1.0
laMafiaBruh,65465,Hunter,1574,89.0,17.0,5.235294117647059,6.647058823529412,6.0,8.0,2.0,0.0
KokaG11LSD,133574,Hunter,1566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ChaoticPlatinum,217900,Titan,1571,1873.0,163.0,11.49079754601227,13.874233128834355,226.0,145.0,29.0,1.0
Senor_Chipmunk,258207,Warlock,1581,3369.0,149.0,22.610738255033556,25.664429530201343,6.0,124.0,41.0,1.0
TheOneScrub,94672,Titan,1578,2158.0,158.0,13.658227848101266,16.996835443037973,242.0,214.0,47.0,1.0
Dr.Brutal,65187,Hunter,1576,412.0,48.0,8.583333333333334,9.96875,2.0,81.0,6.0,0.0
SOG APEX,59923,Warlock,1576,2489.0,80.0,31.1125,35.51875,306.0,96.0,28.0,1.0
END GROUP + 11402199602
星海,240365,Hunter,1576,1201.0,72.0,16.680555555555557,18.67361111111111,94.0,206.0,5.0,1.0
猫十三,145435,Warlock,1573,684.0,61.0,11.21311475409836,13.180327868852459,158.0,30.0,7.0,1.0
帝星飘摇荧惑高,135331,Titan,1576,1502.0,60.0,25.033333333333335,26.95,0.0,347.0,191.0,1.0
knight007,245590,Titan,1581,923.0,62.0,14.887096774193548,17.346774193548388,1.0,255.0,85.0,1.0
可达鸭只想安安静静的,63146,Warlock,1574,1204.0,70.0,17.2,18.7,152.0,145.0,34.0,1.0
赞美愚者,94459,Warlock,1573,1099.0,61.0,18.016393442622952,19.75409836065574,307.0,102.0,26.0,1.0
END GROUP + 11402207577
